Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,25.030001,25.700001,24.049999,25.700001,25.700001,246800
2021-01-06,25.700001,26.360001,25.500000,26.020000,26.020000,371200
2021-01-07,26.400000,27.150000,26.010000,26.500000,26.500000,442800
2021-01-08,26.799999,26.799999,26.309999,26.639999,26.639999,121900
2021-01-11,25.980000,26.700001,25.799999,26.500000,26.500000,330400
2021-01-12,26.500000,27.580000,26.500000,27.209999,27.209999,612800
2021-01-13,27.430000,28.000000,26.900000,27.150000,27.150000,247600
2021-01-14,27.160000,27.940001,27.160000,27.940001,27.940001,254700
2021-01-15,27.820000,27.820000,26.660000,27.170000,27.170000,141500
2021-01-18,27.049999,27.700001,26.850000,26.990000,26.990000,185900
2021-01-19,27.150000,27.400000,25.870001,26.209999,26.209999,252800
2021-01-20,26.440001,27.070000,26.240000,26.639999,26.639999,198100
2021-01-21,26.650000,26.959999,26.139999,26.410000,26.410000,186200
2021-01-22,26.100000,26.350000,25.410000,26.020000,26.020000,237200
2021-01-26,25.990000,26.820000,25.990000,26.600000,26.600000,245700
2021-01-27,26.610001,26.610001,25.670000,25.889999,25.889999,243100
2021-01-28,25.760000,26.370001,25.719999,26.160000,26.160000,159600
2021-01-29,26.150000,26.440001,25.500000,25.770000,25.770000,129400
2021-02-01,26.139999,26.799999,25.990000,26.500000,26.500000,351700
